"benchmark","benchmark id","expected","cyclist","sleek","spen"
"FDB_entl/skl3-vc02.smt2","945950","sat","timeout (cpu)--2400.1--starexec-unknown","complete--1.02584--sat","complete--0.016996--sat"
"FDB_entl/dll-vc09.smt2","945909","unsat","complete--0.153976--unsat","complete--0.120981--unsat","complete--0.012997--unsat"
"FDB_entl/nll-vc08.smt2","945943","unsat","complete--4.94925--unsat","complete--0.45493--unsat","complete--0.012997--unsat"
"FDB_entl/dll-vc08.smt2","945916","unsat","complete--1245.4--starexec-unknown","complete--0.143977--starexec-unknown","complete--0.012997--unsat"
"FDB_entl/dll-vc05.smt2","945915","unsat","complete--0.556915--unsat","complete--0.121981--unsat","complete--0.008998--unsat"
"FDB_entl/skl3-vc05.smt2","945913","unsat","timeout (cpu)--2400.1--starexec-unknown","complete--43.8243--starexec-unknown","complete--0.029995--unsat"
"FDB_entl/skl2-vc01.smt2","945928","unsat","complete--0.078987--unsat","complete--0.070989--unsat","complete--0.013996--unsat"
"FDB_entl/nll-vc02.smt2","945917","unsat","timeout (cpu)--2400.03--starexec-unknown","complete--0.112981--unsat","complete--0.012997--unsat"
"FDB_entl/skl3-vc10.smt2","945935","unsat","timeout (cpu)--2400.09--starexec-unknown","complete--0.286955--unsat","complete--0.017996--unsat"
"FDB_entl/nll-vc10.smt2","945918","unsat","complete--2.50862--unsat","complete--0.330949--unsat","complete--0.011997--unsat"
"FDB_entl/nll-vc03.smt2","945936","unsat","timeout (cpu)--2400.07--starexec-unknown","complete--0.19497--unsat","complete--0.012997--unsat"
"FDB_entl/skl2-vc03.smt2","945930","unsat","timeout (cpu)--2400.04--starexec-unknown","complete--33.7479--sat","complete--0.013997--unsat"
"FDB_entl/skl3-vc08.smt2","945929","unsat","timeout (cpu)--2400.07--starexec-unknown","complete--40.3199--starexec-unknown","complete--0.025995--unsat"
"FDB_entl/nll-vc01.smt2","945922","unsat","timeout (cpu)--2400.03--starexec-unknown","complete--0.114982--unsat","complete--0.011997--unsat"
"FDB_entl/skl3-vc06.smt2","945911","unsat","timeout (cpu)--2400.09--starexec-unknown","complete--7.11492--starexec-unknown","complete--0.029994--unsat"
"FDB_entl/nll-vc11.smt2","945947","unsat","complete--0.032994--unsat","complete--0.19197--unsat","complete--0.012997--unsat"
"FDB_entl/skl2-vc04.smt2","945912","unsat","complete--1.9807--unsat","complete--0.142977--unsat","complete--0.012997--unsat"
"FDB_entl/dll-vc03.smt2","945924","unsat","complete--0.016996--unsat","complete--0.089986--unsat","complete--0.012997--unsat"
"FDB_entl/dll-vc01.smt2","945945","unsat","complete--0.008998--unsat","complete--0.072987--unsat","complete--0.011997--unsat"
"FDB_entl/nll-vc16.smt2","945941","sat","timeout (cpu)--2400.0--starexec-unknown","complete--0.237963--sat","complete--0.012997--sat"
"FDB_entl/skl3-vc07.smt2","945932","unsat","timeout (cpu)--2400.01--starexec-unknown","complete--2.19367--starexec-unknown","complete--0.024995--unsat"
"FDB_entl/nll-vc13.smt2","945927","sat","timeout (cpu)--2400.05--starexec-unknown","complete--0.180971--sat","complete--0.011997--sat"
"FDB_entl/dll-vc11.smt2","945951","unsat","complete--28.8676--unsat","complete--0.12698--unsat","complete--0.008998--unsat"
"FDB_entl/dll-vc13.smt2","945910","sat","complete--12.2881--starexec-unknown","complete--0.089985--starexec-unknown","complete--0.010997--sat"
"FDB_entl/nll-vc06.smt2","945931","sat","timeout (cpu)--2400.05--starexec-unknown","complete--0.350946--sat","complete--0.012997--sat"
"FDB_entl/nll-vc14.smt2","945938","sat","timeout (cpu)--2400.07--starexec-unknown","complete--0.284956--sat","complete--0.011997--sat"
"FDB_entl/nll-vc07.smt2","945939","unsat","complete--0.073988--unsat","complete--0.184971--unsat","complete--0.012997--unsat"
"FDB_entl/nll-vc12.smt2","945921","unsat","complete--0.067989--unsat","complete--0.093985--unsat","complete--0.011998--unsat"
"FDB_entl/skl2-vc02.smt2","945937","unsat","complete--0.831873--unsat","complete--0.070988--unsat","complete--0.012997--unsat"
"FDB_entl/nll-vc05.smt2","945920","unsat","complete--11.5932--unsat","complete--0.166974--unsat","complete--0.012997--unsat"
"FDB_entl/skl3-vc04.smt2","945926","unsat","timeout (cpu)--2400.02--starexec-unknown","complete--3.02754--starexec-unknown","complete--0.028995--unsat"
"FDB_entl/nll-vc09.smt2","945925","unsat","complete--0.350946--unsat","complete--0.231963--unsat","complete--0.012997--unsat"
"FDB_entl/dll-vc02.smt2","945946","unsat","complete--0.008998--unsat","complete--0.072988--unsat","complete--0.011997--unsat"
"FDB_entl/dll-vc10.smt2","945940","unsat","timeout (cpu)--2400.0--starexec-unknown","complete--0.153975--starexec-unknown","complete--0.012997--unsat"
"FDB_entl/dll-vc12.smt2","945948","sat","complete--305.842--starexec-unknown","complete--0.130979--starexec-unknown","complete--0.011997--sat"
"FDB_entl/skl3-vc01.smt2","945944","unsat","complete--87.3397--unsat","complete--0.096984--unsat","complete--0.014997--unsat"
"FDB_entl/dll-vc07.smt2","945923","unsat","complete--0.052991--unsat","complete--0.088985--starexec-unknown","complete--0.011997--unsat"
"FDB_entl/dll-vc04.smt2","945942","sat","complete--3.82542--starexec-unknown","complete--0.081987--sat","complete--0.010997--sat"
"FDB_entl/nll-vc15.smt2","945934","sat","timeout (cpu)--2400.06--starexec-unknown","complete--0.176972--sat","complete--0.011997--sat"
"FDB_entl/dll-vc06.smt2","945949","unsat","complete--429.937--starexec-unknown","complete--0.177972--unsat","complete--0.012997--unsat"
"FDB_entl/skl3-vc03.smt2","945933","unsat","complete--2.88456--unsat","complete--6.44302--unsat","complete--0.017996--unsat"
"FDB_entl/nll-vc04.smt2","945914","unsat","timeout (cpu)--2400.06--starexec-unknown","complete--0.402938--unsat","complete--0.012997--unsat"
"FDB_entl/skl3-vc09.smt2","945919","unsat","timeout (cpu)--2400.07--starexec-unknown","complete--5.68713--starexec-unknown","complete--0.026995--unsat"
